method_short,method,scenario_id,n_windows,mrr,top1,top3,top5,source_json,defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow,observability_tier,min_monitor_hop,nearest_monitors,is_hard_candidate
Cand-Obs,candidate_observability,53,18,0.7101851851851851,0.6111111111111112,0.6666666666666666,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,53,I,HS1316563,,50,14,18,23.2201,0.0,0.0,0.0,46.4402,direct,0,HS1316563,False
Cand-Obs,candidate_observability,346,18,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,346,E,HS1316563,HS1316467.1,50,12,18,-8.5035,0.0,0.0,0.0,17.007,direct,0,HS1316563,False
Cand-Obs,candidate_observability,265,18,0.8425925925925927,0.7222222222222222,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,265,E,HS1306904,HS1313402.2,40,12,18,-25.6034,0.0,0.0,0.0,64.0085,direct,0,HS1306904,False
Cand-Obs,candidate_observability,242,6,0.8333333333333334,0.6666666666666666,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,242,I,HS1344261,,60,8,6,1.5194,0.0,0.0,0.0,2.5324,near,2,HS1316267,False
Cand-Obs,candidate_observability,14,6,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,14,I,VP0232532,,40,14,6,0.5776,0.0,0.0,0.0,1.444,far,5,HS1306571,True
Cand-Obs,candidate_observability,316,15,0.9466666666666667,0.9333333333333333,0.9333333333333333,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,316,E,HS1313597,HS1313613.1,50,0,18,-1.4417,0.0,0.0,0.0,2.8834,direct,0,HS1313597,False
Cand-Obs,candidate_observability,89,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,89,I,MH0200661,,50,20,12,1.7404,0.0,0.0,0.0,3.4808,far,4,HS1306571,True
Cand-Obs,candidate_observability,274,12,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,274,E,HS1308302,HS1308301.1,50,12,12,-11.7904,0.0,0.0,0.0,23.5807,near,1,HS1308324;HS1308301,False
Cand-Obs,candidate_observability,167,6,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,167,I,HS1313205,,50,8,6,31.3426,0.0,0.0,0.0,62.6852,direct,0,HS1313205,False
Cand-Obs,candidate_observability,329,9,1.0,1.0,1.0,1.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\raw_metrics_from_main_reports_20260413\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,329,E,HS1314237,HS1314210.1,50,0,12,-1.9257,0.0,0.0,0.0,3.8514,far,7,HS1306601,True
